Mothur_Name,Read_Number,Concentration,Cruise,Sed_or_Mus_or_Wat,Type,Depth_in_Meters,Lake,Month_Collected,Mussel Classification ,Mass_of_Mussel,Mussel_Density,Sediment_Type,,,,,,,,,,
Q08_L2_S_S208,19530,1.97,Transect,Mussel,Mussel Shell,45,Michigan,July,Medium,0.4,Few,silt over sandy silt,,,,,,,,,,
Q08_L2_T_S220,16393,7.82,Transect,Mussel,Mussel Tissue,45,Michigan,July,Small,0.2,Few,silt over sandy silt,,,,,,,,,,
Q08_M1_S_S232,5759,1.27,Transect,Mussel,Mussel Shell,45,Michigan,July,Medium,0.4,Few,silt over sandy silt,,,,,,,,,,
Q08_M1_T_S244,3338,3.71,Transect,Mussel,Mussel Tissue,45,Michigan,July,Small,0.1,Few,silt over sandy silt,,,,,,,,,,
Q08_M2_S_S256,13087,1.69,Transect,Mussel,Mussel Shell,45,Michigan,July,Small,0.2,Few,silt over sandy silt,,,,,,,,,,
Q08_M2_T_S268,2445,11.43,Transect,Mussel,Mussel Tissue,45,Michigan,July,Small,0.1,Few,silt over sandy silt,,,,,,,,,,
Q09_L1_S_S233,3290,5.7,Transect,Mussel,Mussel Shell,45,Michigan,July,Medium,0.3,Many,silty sand,,,,,,,,,,
Q09_L1_T_S245,1569,65,Transect,Mussel,Mussel Tissue,45,Michigan,July,Small,0.2,Many,silty sand,,,,,,,,,,
Q09_L2_S_S269,4054,25.94,Transect,Mussel,Mussel Shell,45,Michigan,July,Medium,0.3,Many,silty sand,,,,,,,,,,
Q09_L2_T_S257,1303,37.75,Transect,Mussel,Mussel Tissue,45,Michigan,July,Small,0.1,Many,silty sand,,,,,,,,,,
Q09_M1_S_S281,4593,10.81,Transect,Mussel,Mussel Shell,45,Michigan,July,Small,0.2,Many,silty sand,,,,,,,,,,
Q09_M1_T_S198,3041,145.38,Transect,Mussel,Mussel Tissue,45,Michigan,July,Small,0.1,Many,silty sand,,,,,,,,,,
Q09_M2_S_S210,4368,1.19,Transect,Mussel,Mussel Shell,45,Michigan,July,Small,0.2,Many,silty sand,,,,,,,,,,
Q09_M2_T_S222,4521,7.7,Transect,Mussel,Mussel Tissue,45,Michigan,July,Small,0.1,Many,silty sand,,,,,,,,,,
Q09_S1_S_S234,6717,1.08,Transect,Mussel,Mussel Shell,45,Michigan,July,Small,0.1,Many,silty sand,,,,,,,,,,
Q09_S1_T_S258,3756,11.49,Transect,Mussel,Mussel Tissue,45,Michigan,July,Small,0.1,Many,silty sand,,,,,,,,,,
Q09_S2_S_S246,5775,2.65,Transect,Mussel,Mussel Shell,45,Michigan,July,Small,0.1,Many,silty sand,,,,,,,,,,
Q09_S2_T_S212,,21.24,Transect,Mussel,Mussel Tissue,45,Michigan,July,Small,<0.1,Many,silty sand,,,,,,,,,,
Q11_L2_S_S282,7239,2.43,Transect,Mussel,Mussel Shell,45,Michigan,July,Large,0.5,Many,silty sand,,,,,,,,,,
Q11_L2_T_S199,7802,36.82,Transect,Mussel,Mussel Tissue,45,Michigan,July,Small,0.2,Many,silty sand,,,,,,,,,,
Q11_M1_S_S211,7867,1.37,Transect,Mussel,Mussel Shell,45,Michigan,July,Large,0.6,Many,silty sand,,,,,,,,,,
Q11_M1_T_S223,4947,10.41,Transect,Mussel,Mussel Tissue,45,Michigan,July,Small,0.1,Many,silty sand,,,,,,,,,,
Q11_M2_S_S235,17712,1.73,Transect,Mussel,Mussel Shell,45,Michigan,July,Medium,0.4,Many,silty sand,,,,,,,,,,
Q11_M2_T_S247,10377,14.22,Transect,Mussel,Mussel Tissue,45,Michigan,July,Small,0.1,Many,silty sand,,,,,,,,,,
Q11_S1_S_S259,12902,2.02,Transect,Mussel,Mussel Shell,45,Michigan,July,Medium,0.4,Many,silty sand,,,,,,,,,,
Q11_S1_T_S283,7931,19.44,Transect,Mussel,Mussel Tissue,45,Michigan,July,Small,<0.1,Many,silty sand,,,,,,,,,,
Q11_S2_S_S271,1802,0.77,Transect,Mussel,Mussel Shell,45,Michigan,July,Medium,0.3,Many,silty sand,,,,,,,,,,
Q11_S2_T_S200,2695,4.69,Transect,Mussel,Mussel Tissue,45,Michigan,July,Small,0.1,Many,silty sand,,,,,,,,,,
110D2W115D_S187,,,,Water,Deep,110,Muskegon ,January,,,,,,,,,,,,,,
110D2W415D_S126,,,,Water,Deep,110,Muskegon ,April,,,,,,,,,,,,,,
110D2W515D_S110,,,,Water,Deep,110,Muskegon ,May,,,,,,,,,,,,,,
110D2W615D_S101,,,,Water,Deep,110,Muskegon ,June,,,,,,,,,,,,,,
110D2W715D_S186,,,,Water,Deep,110,Muskegon ,July,,,,,,,,,,,,,,
110D2W815D_S123,,,,Water,Deep,110,Muskegon ,August,,,,,,,,,,,,,,
110D2W915D_S173,,,,Water,Deep,110,Muskegon ,September,,,,,,,,,,,,,,
110M2W115D_S146,,,,Water,Mid,15,Muskegon ,January,,,,,,,,,,,,,,
110M2W415D_S136,,,,Water,Mid,110,Muskegon ,April,,,,,,,,,,,,,,
110M2W515D_S98,,,,Water,Mid,110,Muskegon ,May,,,,,,,,,,,,,,
110M2W615D_S100,,,,Water,Mid,110,Muskegon ,June,,,,,,,,,,,,,,
110M2W715D_S139,,,,Water,Mid,110,Muskegon ,July,,,,,,,,,,,,,,
110M2W815D_S104,,,,Water,Mid,110,Muskegon ,August,,,,,,,,,,,,,,
110M2W915D_S171,,,,Water,Mid,110,Muskegon ,September,,,,,,,,,,,,,,
110S2W115D_S103,,,,Water,Surface,110,Muskegon ,January,,,,,,,,,,,,,,
110S2W415D_S181,,,,Water,Surface,110,Muskegon ,April,,,,,,,,,,,,,,
110S2W515D_S158,,,,Water,Surface,110,Muskegon ,May,,,,,,,,,,,,,,
110S2W615D_S145,,,,Water,Surface,110,Muskegon ,June,,,,,,,,,,,,,,
110S2W715D_S185,,,,Water,Surface,110,Muskegon ,July,,,,,,,,,,,,,,
110S2W815D_S102,,,,Water,Surface,110,Muskegon ,August,,,,,,,,,,,,,,
110S2W915D_S113,,,,Water,Surface,110,Muskegon ,September,,,,,,,,,,,,,,
M15S2W115D_S111,,,,Water,Surface,15,Muskegon ,January,,,,,,,,,,,,,,
M15S2W415D_S169,,,,Water,Surface,15,Muskegon ,April,,,,,,,,,,,,,,
M15S2W515D_S127,,,,Water,Surface,15,Muskegon ,May,,,,,,,,,,,,,,
M15S2W615D_S183,,,,Water,Surface,15,Muskegon ,June,,,,,,,,,,,,,,
M15S2W715D_S162,,,,Water,Surface,15,Muskegon ,July,,,,,,,,,,,,,,
M15S2W815D_S170,,,,Water,Surface,15,Muskegon ,August,,,,,,,,,,,,,,
M15S2W915D_S109,,,,Water,Surface,15,Muskegon ,September,,,,,,,,,,,,,,
M45D2W115D_S135,,,,Water,Deep,45,Muskegon ,January,,,,,,,,,,,,,,
M45D2W415D_S148,,,,Water,Deep,45,Muskegon ,April,,,,,,,,,,,,,,
M45D2W515D_S125,,,,Water,Deep,45,Muskegon ,May,,,,,,,,,,,,,,
M45D2W615D_S150,,,,Water,Deep,45,Muskegon ,June,,,,,,,,,,,,,,
M45D2W715D_S159,,,,Water,Deep,45,Muskegon ,July,,,,,,,,,,,,,,
M45D2W815D_S175,,,,Water,Deep,45,Muskegon ,August,,,,,,,,,,,,,,
M45D2W915D_S149,,,,Water,Deep,45,Muskegon ,September,,,,,,,,,,,,,,
M45M1_615_S180,,,,Water,Mid,45,Muskegon ,June,,,,,,,,,,,,,,
M45M1_715_S205,,,,Water,Mid,45,Muskegon ,July,,,,,,,,,,,,,,
M45M1_815_S229,,,,Water,Mid,45,Muskegon ,August,,,,,,,,,,,,,,
M45M2_615_S193,,,,Water,Mid,45,Muskegon ,June,,,,,,,,,,,,,,
M45M2_715_S217,,,,Water,Mid,45,Muskegon ,July,,,,,,,,,,,,,,
M45M2_815_S241,,,,Water,Mid,45,Muskegon ,August,,,,,,,,,,,,,,
M45S2W115D_S121,,,,Water,Surface,45,Muskegon ,January,,,,,,,,,,,,,,
M45S2W415D_S134,,,,Water,Surface,45,Muskegon ,April,,,,,,,,,,,,,,
M45S2W515D_S182,,,,Water,Surface,45,Muskegon ,May,,,,,,,,,,,,,,
M45S2W615D_S160,,,,Water,Surface,45,Muskegon ,June,,,,,,,,,,,,,,
M45S2W715D_S172,,,,Water,Surface,45,Muskegon ,July,,,,,,,,,,,,,,
M45S2W815D_S161,,,,Water,Surface,45,Muskegon ,August,,,,,,,,,,,,,,
M45S2W915D_S174,,,,Water,Surface,45,Muskegon ,September,,,,,,,,,,,,,,
MLBD2W115D_S147,,,,Water,Deep,8,Muskegon ,January,,,,,,,,,,,,,,
MLBD2W415D_S115,,,,Water,Deep,8,Muskegon ,April,,,,,,,,,,,,,,
MLBD2W515D_S133,,,,Water,Deep,8,Muskegon ,May,,,,,,,,,,,,,,
MLBD2W715D_S99,,,,Water,Deep,8,Muskegon ,July,,,,,,,,,,,,,,
MLBD2W815D_S157,,,,Water,Deep,8,Muskegon ,August,,,,,,,,,,,,,,
MLBD2W915D_S122,,,,Water,Deep,8,Muskegon ,September,,,,,,,,,,,,,,
MLBD4W615D_S114,,,,Water,Deep,8,Muskegon ,June,,,,,,,,,,,,,,
MLBS2W115D_S137,,,,Water,Deep,8,Muskegon ,January,,,,,,,,,,,,,,
MLBS2W415D_S151,,,,Water,Surface,8,Muskegon ,April,,,,,,,,,,,,,,
MLBS2W515D_S112,,,,Water,Surface,8,Muskegon ,May,,,,,,,,,,,,,,
MLBS2W715D_S97,,,,Water,Surface,8,Muskegon ,July,,,,,,,,,,,,,,
MLBS2W815D_S184,,,,Water,Surface,8,Muskegon ,August,,,,,,,,,,,,,,
MLBS2W915D_S138,,,,Water,Surface,8,Muskegon ,September,,,,,,,,,,,,,,
MLBS4W615D_S163,,,,Water,Surface,8,Muskegon ,June,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
