Mothur_Name,Read_Number,Concentration,Cruise,Sed_or_Mus_or_Wat,Type,Depth_in_Meters,Lake,Month_Collected,Mussel Classification ,Mass_of_Mussel,Mussel_Density,Sediment_Type,,,,,,,,,,
LM15_Q14_1_S190,7006,4.73,Survey,Mussel,Whole Mussel,45,Michigan,July,Medium,0.3,Many,sandy silt,,,,,,,,,,
LM15_Q14_2_S107,9854,6,Survey,Mussel,Whole Mussel,45,Michigan,July,Medium,0.3,Many,sandy silt,,,,,,,,,,
LM15_Q14_S_S139,12492,1.9,Survey,Mussel,Whole Mussel,,,,,,,,,,,,,,,,,
LM15_Q14_T_S151,7231,12.37,Survey,Mussel,Whole Mussel,,,,,,,,,,,,,,,,,
LM15_Q14_W_S127,11197,9.73,Survey,Mussel,Whole Mussel,,,,,,,,,,,,,,,,,
LM15_Q15_1_S119,14752,28.61,Survey,Mussel,Whole Mussel,45,Michigan,July,Medium,0.3,Few,silty sand,,,,,,,,,,
LM15_Q15_2_S131,8856,43.02,Survey,Mussel,Whole Mussel,45,Michigan,July,Medium,0.4,Few,silty sand,,,,,,,,,,
LM15_Q16_1_S143,6572,55.06,Survey,Mussel,Whole Mussel,45,Michigan,July,Large,1,Few,silt,,,,,,,,,,
LM15_Q16_2_S155,2880,67.41,Survey,Mussel,Whole Mussel,45,Michigan,July,Large,0.5,Few,silt,,,,,,,,,,
LM15_Q17_1_S167,7392,9.15,Survey,Mussel,Whole Mussel,45,Michigan,July,Small,0.2,Many,clay and sand,,,,,,,,,,
LM15_Q17_2_S179,6411,19.26,Survey,Mussel,Whole Mussel,45,Michigan,July,Medium,0.3,Many,clay and sand,,,,,,,,,,
LM15_Q18_1_S108,4086,16.39,Survey,Mussel,Whole Mussel,45,Michigan,July,Medium,0.3,Very Few,silty sand,,,,,,,,,,
LM15_Q18_2_S120,5357,11.54,Survey,Mussel,Whole Mussel,45,Michigan,July,Small,0.2,Very Few,silty sand,,,,,,,,,,
LM15_Q19_1_S132,2695,85.92,Survey,Mussel,Whole Mussel,45,Michigan,July,Large,0.8,Moderate,silt over sandy silt,,,,,,,,,,
LM15_Q19_2_S144,4553,47.19,Survey,Mussel,Whole Mussel,45,Michigan,July,Large,0.6,Moderate,silt over sandy silt,,,,,,,,,,
LM15_Q20_1_S156,3966,16.08,Survey,Mussel,Whole Mussel,45,Michigan,July,Medium,0.3,Many,silty sand,,,,,,,,,,
LM15_Q20_2_S168,3427,54.07,Survey,Mussel,Whole Mussel,45,Michigan,July,Medium,0.3,Many,silty sand,,,,,,,,,,
LM15_S01_S44,7191,4.08,Survey,Sediment,Sediment,45,Michigan,July,,,Many,sandy silt,,,,,,,,,,
LM15_S02_S32,8655,7.46,Survey,Sediment,Sediment,45,Michigan,July,,,Many,sandy silt,,,,,,,,,,
LM15_S03_S20,8269,5.77,Survey,Sediment,Sediment,45,Michigan,July,,,Many,sandy silt,,,,,,,,,,
LM15_S04_S8,7811,12.13,Survey,Sediment,Sediment,45,Michigan,July,,,Moderate,silty sand,,,,,,,,,,
LM15_S05_S91,7239,7.78,Survey,Sediment,Sediment,45,Michigan,July,,,Moderate,silty sand,,,,,,,,,,
LM15_S06_S79,7794,10.02,Survey,Sediment,Sediment,45,Michigan,July,,,Moderate,silty sand,,,,,,,,,,
LM15_S07_S67,7963,7.99,Survey,Sediment,Sediment,45,Michigan,July,,,Moderate-high,silty sand,,,,,,,,,,
LM15_S08_S55,8213,5.56,Survey,Sediment,Sediment,45,Michigan,July,,,Moderate-high,silty sand,,,,,,,,,,
LM15_S09_S43,6628,6.61,Survey,Sediment,Sediment,45,Michigan,July,,,Moderate-high,silty sand,,,,,,,,,,
LM15_S10_S31,7947,9.67,Survey,Sediment,Sediment,45,Michigan,July,,,Moderate,silty sand,,,,,,,,,,
LM15_S11_S19,7400,12.06,Survey,Sediment,Sediment,45,Michigan,July,,,Moderate,silty sand,,,,,,,,,,
LM15_S12_S7,6950,12.56,Survey,Sediment,Sediment,45,Michigan,July,,,Moderate,silty sand,,,,,,,,,,
LM15_S13_S90,5438,12,Survey,Sediment,Sediment,45,Michigan,July,,,Few-Moderate,soft silt,,,,,,,,,,
LM15_S14_S78,5639,9.1,Survey,Sediment,Sediment,45,Michigan,July,,,Few-Moderate,soft silt,,,,,,,,,,
LM15_S15_S66,5920,9.96,Survey,Sediment,Sediment,45,Michigan,July,,,Few-Moderate,soft silt,,,,,,,,,,
LM15_S16_S54,6057,7.61,Survey,Sediment,Sediment,45,Michigan,July,,,Few,soft silt,,,,,,,,,,
LM15_S17_S42,5237,11.23,Survey,Sediment,Sediment,45,Michigan,July,,,Few,soft silt,,,,,,,,,,
LM15_S18_S30,6427,8.97,Survey,Sediment,Sediment,45,Michigan,July,,,Few,soft silt,,,,,,,,,,
LM15_S19_S18,6057,13.64,Survey,Sediment,Sediment,45,Michigan,July,,,High,soft silt,,,,,,,,,,
LM15_S20_S6,5341,8.35,Survey,Sediment,Sediment,45,Michigan,July,,,High,soft silt,,,,,,,,,,
LM15_S21_S89,9838,8.89,Survey,Sediment,Sediment,45,Michigan,July,,,High,soft silt,,,,,,,,,,
LM15_S22_S77,11398,8.34,Survey,Sediment,Sediment,45,Michigan,July,,,Few,silt over sandy silt,,,,,,,,,,
LM15_S23_S65,11125,6.14,Survey,Sediment,Sediment,45,Michigan,July,,,Few,silt over sandy silt,,,,,,,,,,
LM15_S24_S53,12605,8.15,Survey,Sediment,Sediment,45,Michigan,July,,,Few,silt over sandy silt,,,,,,,,,,
LM15_S25_S41,12315,6.9,Survey,Sediment,Sediment,45,Michigan,July,,,Many,silty sand,,,,,,,,,,
LM15_S26_S29,11318,9.89,Survey,Sediment,Sediment,45,Michigan,July,,,Many,silty sand,,,,,,,,,,
LM15_S27_S17,10722,12.51,Survey,Sediment,Sediment,45,Michigan,July,,,Many,silty sand,,,,,,,,,,
LM15_S28_S5,7963,12.06,Survey,Sediment,Sediment,45,Michigan,July,,,Many,sandy silt,,,,,,,,,,
LM15_S29_S88,6805,15.22,Survey,Sediment,Sediment,45,Michigan,July,,,Many,sandy silt,,,,,,,,,,
LM15_S30_S76,6548,18,Survey,Sediment,Sediment,45,Michigan,July,,,Many,sandy silt,,,,,,,,,,
LM15_S31_S64,6507,15.63,Survey,Sediment,Sediment,45,Michigan,July,,,Many,silty sand,,,,,,,,,,
LM15_S32_S52,7167,24.11,Survey,Sediment,Sediment,45,Michigan,July,,,Many,silty sand,,,,,,,,,,
LM15_S33_S40,6556,8.76,Survey,Sediment,Sediment,45,Michigan,July,,,Many,silty sand,,,,,,,,,,
LM15_S34_S28,7022,12.49,Survey,Sediment,Sediment,45,Michigan,July,,,Many,silty sand,,,,,,,,,,
LM15_S35_S16,6749,12.32,Survey,Sediment,Sediment,45,Michigan,July,,,Many,silty sand,,,,,,,,,,
LM15_S36_S4,6041,16.22,Survey,Sediment,Sediment,45,Michigan,July,,,Many,silty sand,,,,,,,,,,
LM15_S37_S87,9106,8.2,Survey,Sediment,Sediment,45,Michigan,July,,,Many,silty sand,,,,,,,,,,
LM15_S38_S75,10586,2.81,Survey,Sediment,Sediment,45,Michigan,July,,,Many,silty sand,,,,,,,,,,
LM15_S39_S63,9926,13.55,Survey,Sediment,Sediment,45,Michigan,July,,,Many,silty sand,,,,,,,,,,
LM15_S40_S51,9114,13.12,Survey,Sediment,Sediment,45,Michigan,July,,,Many,sandy silt,,,,,,,,,,
LM15_S41_S39,8880,15.09,Survey,Sediment,Sediment,45,Michigan,July,,,Many,sandy silt,,,,,,,,,,
LM15_S42_S27,9476,18.73,Survey,Sediment,Sediment,45,Michigan,July,,,Many,sandy silt,,,,,,,,,,
LM15_S43_S15,7899,10.53,Survey,Sediment,Sediment,45,Michigan,July,,,Few,silty sand,,,,,,,,,,
LM15_S44_S3,7730,10.86,Survey,Sediment,Sediment,45,Michigan,July,,,Few,silty sand,,,,,,,,,,
LM15_S45_S86,4850,13.7,Survey,Sediment,Sediment,45,Michigan,July,,,Few,silty sand,,,,,,,,,,
LM15_S46_S74,5277,11.7,Survey,Sediment,Sediment,45,Michigan,July,,,Few,silt,,,,,,,,,,
LM15_S47_S62,4971,11.15,Survey,Sediment,Sediment,45,Michigan,July,,,Few,silt,,,,,,,,,,
LM15_S48_S50,5784,6.55,Survey,Sediment,Sediment,45,Michigan,July,,,Few,silt,,,,,,,,,,
LM15_S49_S38,4432,3.03,Survey,Sediment,Sediment,45,Michigan,July,,,Many,clay and sand,,,,,,,,,,
LM15_S50_S26,5060,4.01,Survey,Sediment,Sediment,45,Michigan,July,,,Many,clay and sand,,,,,,,,,,
LM15_S51_S14,3805,2.44,Survey,Sediment,Sediment,45,Michigan,July,,,Many,clay and sand,,,,,,,,,,
LM15_S52_S2,4722,7.13,Survey,Sediment,Sediment,45,Michigan,July,,,Few,silty sand,,,,,,,,,,
LM15_S53_S85,12556,11.25,Survey,Sediment,Sediment,45,Michigan,July,,,Few,silty sand,,,,,,,,,,
